comment_id,score,keyword
4125966013719912,3.08,香料
4135194661746830,3.68,浪费
4125849877572268,1.07,
4134884869649017,1.17,痘痘
4126837333868985,3.34,我日
4137138192897036,3.7,求
4134890767768766,1.48,逆天
4136316889814936,1.39,玉泽
4127647414418696,1.44,喜欢
4133902047670227,3.89,药水
4125888055078740,1.77,粉丝
4126622015256982,3.1,良心
4179021463900071,1.25,弗利特
4126115901387304,0.54,厉害
4126620329033695,1.27,
4135596634657525,1.21,"哈哈,哈哈,哈哈,哈哈"
4127689550107057,0.55,爱
4132099537877928,1.01,男生
4125919118071371,2.55,憧憬
4130496793995754,1.9,
4137693102938663,1.03,需要
4126129281250045,3.23,转发
4126460874774841,3.98,评论
4125888776298630,3.43,客服
4126828383219752,1.01,
4127153559342645,1.72,防晒
4126614566975585,0.18,
4139497346705430,1.81,转发
4144401540917979,1.81,正家
4126263767441970,4.72,可爱
4127626987083460,1.99,凉快
4135565655685747,1.24,电视
4127345952992069,3.4,马蹄声
4126901330766277,1.89,美丽
4136787116722746,1.78,
4134882285724398,4.07,黑头
4135652331769831,3.92,后悔
4149975425938120,1.18,肌肤
4135701207219347,2.58,石头
4125852620520111,0.73,全
4137440895629720,1.18,油皮
4136866208750017,1.38,
4150451907729074,3.0,就医
4125836565314766,1.57,
4128330921801456,2.26,舒服
4135391873812728,1.71,瑕盘
4127732872542871,1.01,
4127720386538069,1.43,
4125863877966244,0.08,店铺
4135263175086043,1.93,允
4125822820951293,3.99,精牌
4127153161586277,0.14,嗒嗒
4128332120861422,2.28,额头
4150566559476266,2.34,肉眼
4126173493347799,1.31,
4135678587101802,1.66,
4135662435208676,1.46,想要
4125826880020503,1.03,需要
4135655607504742,1.71,
4135609058506485,1.81,戚薇
4128112847747664,3.81,感觉
4137523368459001,1.6,广州
4132335471691845,4.0,实际
4135964093677800,0.0,嗒嗒
4150467048921739,0.06,带有
4135688930484852,2.81,化妆品
4144753543588593,1.2,
4127153409062274,1.14,正品
4127627616353649,1.14,摊手
4131215513124869,1.85,
4125916076350161,1.02,怕
4134890544578985,3.63,梦想
4177013281200901,2.57,盐
4126636364171083,3.33,岳鹏
4135656660340420,2.37,淘宝
4135547511448561,2.78,污
4127152620317790,0.0,嗒嗒
4127735297455250,3.7,妆
4129408531064276,2.41,捉到
4125927472273981,0.0,迷信
4126509554159863,3.83,皮肤
4135552729122481,3.04,莱昂纳多
4133890925341267,1.84,花
4127619207281925,1.96,帅
4128404057543109,2.65,信号
4135952115011610,1.18,花花
4126486820871701,1.04,过敏
4135842412400911,4.72,恶心
4127153123680614,1.2,哈哈哈哈
