word,value
质量差,-2.7777777777777777
拥挤不堪,-3.888888888888889
闹嚷嚷,-2.7777777777777777
盘根错节,-2.7777777777777777
七零八落,-3.888888888888889
囚首垢面,-5.0
缺心眼,-3.888888888888889
骚乱性,-2.7777777777777777
傻头傻脑,-2.7777777777777777
十恶不赦,-5.0
自命清高,-5.0
花哨,-1.6666666666666667
狂放,-1.6666666666666667
老诚,-1.6666666666666667
未成熟,-2.7777777777777777
性情急躁,-5.0
有毒,-2.7777777777777777
有失身分,-2.7777777777777777
羽毛未丰,-2.7777777777777777
灾难性,-5.0
矮子看戏,-2.7777777777777777
破家危国,-5.0
误国殄民,-5.0
大权旁落,-3.888888888888889
洋洋得意,-2.7777777777777777
哄笑,-2.7777777777777777
弹冠相庆,-3.888888888888889
娇养,-2.7777777777777777
民怨沸腾,-5.0
耍态度,-2.7777777777777777
髀肉复生,-2.7777777777777777
缩头缩尾,-1.6666666666666667
阴森,-1.6666666666666667
残暴,-5.0
猖狂,-3.888888888888889
臭味相投,-2.7777777777777777
狗腿子,-3.888888888888889
黑心肠,-3.888888888888889
倒行逆施,-5.0
恶霸,-3.888888888888889
诽谤,-3.888888888888889
狂妄,-3.888888888888889
老奸巨滑,-5.0
掠夺,-3.888888888888889
嫌恶,-3.888888888888889
该死,-3.888888888888889
恶毒,-3.888888888888889
欺世盗名,-2.7777777777777777
敲诈勒索,-3.888888888888889
罄竹难书,-5.0
看不惯,-0.5555555555555556
蔑视,-3.888888888888889
顽抗,-1.6666666666666667
惟利是图,-2.7777777777777777
乌烟瘴气,-1.6666666666666667
阴险,-5.0
众叛亲离,-5.0
罪在不赦,-5.0
唾弃,-3.888888888888889
邪行,-0.5555555555555556
惨毒,-3.888888888888889
可笑,-0.5555555555555556
蒙骗,-2.7777777777777777
轻侮,-2.7777777777777777
记恨,-1.6666666666666667
叫化子过瘾－讨厌,-1.6666666666666667
剥皮抽筋,-5.0
人言啧啧,-2.7777777777777777
不值一钱,-3.888888888888889
言者谆谆，听者藐藐,-2.7777777777777777
夜叉,-2.7777777777777777
奸妇,-3.888888888888889
反唇相讥,-1.6666666666666667
坏蛋,-3.888888888888889
蛇蝎,-3.888888888888889
祸水,-3.888888888888889
贱货,-5.0
訾议,-2.7777777777777777
矮子,-1.6666666666666667
败家,-2.7777777777777777
窝心,-2.7777777777777777
没精打采,-1.6666666666666667
心浮,-0.5555555555555556
无所适从,-1.6666666666666667
无病自灸,-1.6666666666666667
不死不活,-2.7777777777777777
问心有愧,-2.7777777777777777
亏心,-2.7777777777777777
既有今日，何必当初,-3.888888888888889
